,partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
14552,7277,2,Santos,15,5,57.0,548,84.0,18,3,0,1,4
14553,7277,2,Ceara,6,3,43.0,419,82.0,19,1,0,3,1
14554,7278,2,Bahia,9,3,39.0,295,72.0,13,4,0,3,2
14555,7278,2,Bragantino,24,6,61.0,442,83.0,12,2,0,1,9
14556,7279,2,Cuiaba,10,4,56.0,489,84.0,15,1,0,4,1
14557,7279,2,Fluminense,8,3,44.0,394,84.0,22,2,0,0,0
14558,7280,2,America-MG,10,4,56.0,483,81.0,12,2,0,4,6
14559,7280,2,Corinthians,6,4,44.0,386,77.0,19,3,0,0,4
14560,7281,2,Internacional,5,3,48.0,353,81.0,21,4,2,1,4
14561,7281,2,Fortaleza,14,8,52.0,378,80.0,19,1,0,2,1
14562,7283,2,Palmeiras,17,4,67.0,550,88.0,10,2,0,1,5
14563,7283,2,Chapecoense,6,4,33.0,279,76.0,11,0,0,2,3
14564,7282,2,Athletico-PR,11,5,41.0,366,82.0,27,2,0,3,1
14565,7282,2,Juventude,13,1,59.0,519,88.0,14,0,0,1,5
14566,7284,2,Atletico-MG,10,1,52.0,474,87.0,15,2,0,0,7
14567,7284,2,Sport,8,1,48.0,448,88.0,18,3,0,1,4
14568,7286,3,Juventude,2,0,24.0,236,70.0,20,3,0,3,0
14569,7286,3,Santos,18,2,76.0,703,89.0,14,2,0,0,8
14570,7287,3,Corinthians,9,4,48.0,458,85.0,14,0,0,2,4
14571,7287,3,Palmeiras,12,3,52.0,491,85.0,14,3,0,4,4
14572,7288,3,Atletico-MG,9,2,42.0,382,84.0,14,0,0,2,4
14573,7288,3,Sao Paulo,5,0,58.0,514,87.0,22,1,0,1,5
14574,7289,3,Gremio,10,1,64.0,610,87.0,21,5,0,0,6
14575,7289,3,Athletico-PR,9,4,36.0,350,78.0,12,4,0,0,4
14576,7290,3,America-MG,9,1,35.0,366,77.0,18,0,0,1,2
14577,7290,3,Flamengo,20,6,65.0,672,88.0,17,0,0,3,4
14578,7292,3,Sport,5,0,41.0,337,74.0,16,3,1,0,3
14579,7292,3,Fortaleza,13,7,59.0,480,84.0,22,3,0,2,3
14580,7294,3,Ceara,14,6,62.0,511,84.0,14,2,0,1,7
14581,7294,3,Chapecoense,8,3,38.0,308,76.0,16,2,0,0,2
14582,7291,3,Bahia,14,3,67.0,490,84.0,14,4,0,2,6
14583,7291,3,Internacional,6,4,33.0,244,68.0,16,4,1,2,5
14584,7293,3,Fluminense,15,4,53.0,437,77.0,8,1,0,2,10
14585,7293,3,Bragantino,16,5,47.0,390,78.0,11,3,0,0,10
14586,7296,4,Atletico-MG,6,2,42.0,437,80.0,13,1,0,0,1
14587,7296,4,Internacional,11,1,58.0,561,86.0,13,3,0,1,8
14588,7297,4,Sao Paulo,13,3,52.0,423,83.0,9,3,1,3,9
14589,7297,4,Chapecoense,7,3,48.0,419,78.0,13,2,0,3,1
14590,7298,4,Bragantino,21,5,58.0,494,85.0,15,0,0,1,12
14591,7298,4,Corinthians,5,2,42.0,367,77.0,13,2,0,2,9
14592,7299,4,Palmeiras,13,5,58.0,527,87.0,24,3,0,1,4
14593,7299,4,Juventude,11,2,42.0,379,84.0,11,0,0,0,7
14594,7301,4,Bahia,9,3,38.0,271,64.0,16,5,0,0,2
14595,7301,4,Ceara,13,3,62.0,428,79.0,19,3,0,0,7
14596,7300,4,Cuiaba,8,3,43.0,322,75.0,16,1,0,3,2
